name,mana_value,color_identity,types,subtypes,set,year,rarity
Forest,0.0,G,"Basic,Land",Forest,lea,1993,common
Fury Sliver,6.0,R,Creature,Sliver,tsp,2006,uncommon
Kor Outfitter,2.0,W,Creature,"Kor,Soldier",zen,2009,common
Spirit,0.0,W,"Token,Creature",Spirit,mpr,2001,common
Siren Lookout,3.0,U,Creature,"Siren,Pirate",xln,2017,common
Web,1.0,G,Enchantment,Aura,lea,1993,rare
Wastewood Verge,0.0,"B,G",Land,,pdft,2025,rare
Surge of Brilliance,2.0,U,Instant,,who,2023,uncommon
Obyra's Attendants // Desperate Parry,5.0,U,Creature,"Faerie,Wizard,//,Instant,—,Adventure",woe,2023,common
Venerable Knight,1.0,W,Creature,"Human,Knight",eld,2019,uncommon
Wildcall,2.0,G,Sorcery,,ugin,2015,rare
Fell Beast's Shriek // Fell Beast's Shriek,0.0,,"Card,//,Card",,altc,2023,common
Mystic Skyfish,3.0,U,Creature,Fish,m21,2020,common
Swamp,0.0,B,"Basic,Land",Swamp,lea,1993,common
Battlewing Mystic,2.0,"R,U",Creature,"Bird,Wizard",dmu,2022,uncommon
Birds of Paradise,1.0,G,Creature,Bird,lea,1993,rare
Bronze Horse,7.0,,"Artifact,Creature",Horse,leg,1994,rare
Wall of Vipers,3.0,B,Creature,"Snake,Wall",pcy,2000,uncommon
Admiral Beckett Brass,4.0,"B,R,U","Legendary,Creature","Human,Pirate",xln,2017,mythic
Ragged Playmate,2.0,R,"Artifact,Creature",Toy,dsk,2024,common
Mulch,2.0,G,Sorcery,,sth,1998,common
Whiptongue Hydra,6.0,G,Creature,"Lizard,Hydra",c18,2018,rare
Wall of Roots,2.0,G,Creature,"Plant,Wall",mir,1996,common
Pugnacious Hammerskull,3.0,G,Creature,Dinosaur,plci,2023,rare
War Historian,3.0,G,Creature,"Human,Monk",mom,2023,common
Searing Blaze,2.0,R,Instant,,wwk,2010,common
Siren's Call,1.0,U,Instant,,lea,1993,uncommon
Mystical Tutor,1.0,U,Instant,,mir,1996,uncommon
Essence Warden,1.0,G,Creature,"Elf,Shaman",plc,2007,common
Blood Operative,3.0,B,Creature,"Vampire,Assassin",grn,2018,rare
Selvala's Enforcer,4.0,G,Creature,"Elf,Warrior",cns,2014,common
Coalstoke Gearhulk,5.0,"B,R","Artifact,Creature",Construct,pdft,2025,mythic
Fresh Meat,4.0,G,Instant,,nph,2011,rare
Orzhov Guildgate,0.0,"B,W",Land,Gate,gtc,2013,common
Mortify,3.0,"B,W",Instant,,gpt,2006,uncommon
Bird,0.0,U,"Token,Creature",Bird,mpr,2001,common
"Narset, Parter of Veils",3.0,U,"Legendary,Planeswalker",Narset,pwar,2019,uncommon
Paradise Druid,2.0,G,Creature,"Elf,Druid",war,2019,uncommon
Run Away Together,2.0,U,Instant,,eld,2019,common
