name,mana_value,color_identity,types,subtypes,set,year,rarity
Forest,0.0,G,"Basic,Land",Forest,lea,1993,1
Fury Sliver,6.0,R,Creature,Sliver,tsp,2006,2
Kor Outfitter,2.0,W,Creature,"Kor,Soldier",zen,2009,1
Siren Lookout,3.0,U,Creature,"Siren,Pirate",xln,2017,1
Web,1.0,G,Enchantment,Aura,lea,1993,3
Wastewood Verge,0.0,"B,G",Land,,pdft,2025,3
Surge of Brilliance,2.0,U,Instant,,who,2023,2
Obyra's Attendants // Desperate Parry,5.0,U,Creature,"Faerie,Wizard,//,Instant,—,Adventure",woe,2023,1
Venerable Knight,1.0,W,Creature,"Human,Knight",eld,2019,2
Wildcall,2.0,G,Sorcery,,ugin,2015,3
Mystic Skyfish,3.0,U,Creature,Fish,m21,2020,1
Swamp,0.0,B,"Basic,Land",Swamp,lea,1993,1
Battlewing Mystic,2.0,"R,U",Creature,"Bird,Wizard",dmu,2022,2
Birds of Paradise,1.0,G,Creature,Bird,lea,1993,3
Bronze Horse,7.0,,"Artifact,Creature",Horse,leg,1994,3
Wall of Vipers,3.0,B,Creature,"Snake,Wall",pcy,2000,2
Admiral Beckett Brass,4.0,"B,R,U","Legendary,Creature","Human,Pirate",xln,2017,4
Ragged Playmate,2.0,R,"Artifact,Creature",Toy,dsk,2024,1
Mulch,2.0,G,Sorcery,,sth,1998,1
Whiptongue Hydra,6.0,G,Creature,"Lizard,Hydra",c18,2018,3
Wall of Roots,2.0,G,Creature,"Plant,Wall",mir,1996,1
Pugnacious Hammerskull,3.0,G,Creature,Dinosaur,plci,2023,3
War Historian,3.0,G,Creature,"Human,Monk",mom,2023,1
Searing Blaze,2.0,R,Instant,,wwk,2010,1
Siren's Call,1.0,U,Instant,,lea,1993,2
Mystical Tutor,1.0,U,Instant,,mir,1996,2
Essence Warden,1.0,G,Creature,"Elf,Shaman",plc,2007,1
Blood Operative,3.0,B,Creature,"Vampire,Assassin",grn,2018,3
Selvala's Enforcer,4.0,G,Creature,"Elf,Warrior",cns,2014,1
Coalstoke Gearhulk,5.0,"B,R","Artifact,Creature",Construct,pdft,2025,4
Fresh Meat,4.0,G,Instant,,nph,2011,3
Orzhov Guildgate,0.0,"B,W",Land,Gate,gtc,2013,1
Mortify,3.0,"B,W",Instant,,gpt,2006,2
"Narset, Parter of Veils",3.0,U,"Legendary,Planeswalker",Narset,pwar,2019,2
Paradise Druid,2.0,G,Creature,"Elf,Druid",war,2019,2
Run Away Together,2.0,U,Instant,,eld,2019,1
Sinew Sliver,2.0,W,Creature,Sliver,plc,2007,1
